dataset,record,fs,duration_s,n_beats,has_beats,has_danger,first_danger_sample,first_danger_s,n_danger_beats,n_baseline_beats_strict,n_baseline_beats_relaxed,baseline_seconds_strict,baseline_seconds_relaxed,danger_span_seconds,n_danger_spans
creighton_vfib,cu08,250.0,508.928,1207,True,True,106603,426.412,0,1164,1164,0.0,0.0,82.512,1
creighton_vfib,cu27,250.0,508.928,1063,True,True,112900,451.6,0,1018,1018,0.0,0.0,23.224,1
creighton_vfib,cu03,250.0,508.928,938,True,True,116430,465.72,0,930,930,0.0,0.0,86.408,2
creighton_vfib,cu13,250.0,508.928,868,True,True,106814,427.256,0,843,843,0.0,0.0,54.392,1
creighton_vfib,cu32,250.0,508.928,778,True,True,110858,443.432,0,747,747,0.0,0.0,47.344,1
creighton_vfib,cu19,250.0,508.928,676,True,True,102454,409.816,3,656,656,0.0,0.0,86.044,2
creighton_vfib,cu05,250.0,508.928,695,True,True,89692,358.768,1,620,620,0.0,0.0,87.628,1
creighton_vfib,cu16,250.0,508.928,831,True,True,63706,254.824,0,583,583,85.92,85.92,111.776,2
creighton_vfib,cu10,250.0,508.928,555,True,True,79128,316.512,0,555,555,0.0,0.0,192.412,1
creighton_vfib,cu33,250.0,508.928,547,True,True,101252,405.008,0,546,546,0.0,0.0,88.588,1
creighton_vfib,cu29,250.0,508.928,542,True,True,94545,378.18,0,540,540,0.0,0.0,130.748,1
creighton_vfib,cu11,250.0,508.928,506,True,True,92797,371.188,0,506,506,0.0,0.0,137.736,1
creighton_vfib,cu25,250.0,508.928,557,True,True,105332,421.328,0,501,501,0.0,0.0,38.96,1
creighton_vfib,cu24,250.0,508.928,509,True,True,89146,356.584,0,475,475,0.0,0.0,67.584,1
creighton_vfib,cu17,250.0,508.928,530,True,True,95665,382.66,0,443,443,0.0,0.0,38.532,1
creighton_vfib,cu23,250.0,508.928,441,True,True,83589,334.356,0,407,407,0.0,0.0,102.476,1
creighton_vfib,cu09,250.0,508.928,917,True,True,59784,239.136,0,402,527,82.128,138.648,57.38,1
creighton_vfib,cu26,250.0,508.928,769,True,True,36382,145.528,0,389,389,0.0,0.0,73.728,2
creighton_vfib,cu28,250.0,508.928,384,True,True,124059,496.236,0,384,384,0.0,0.0,12.692,1
creighton_vfib,cu07,250.0,508.928,375,True,True,45502,182.008,0,375,375,0.0,0.0,326.9,1
creighton_vfib,cu22,250.0,508.928,438,True,True,84529,338.116,0,375,375,0.0,0.0,109.976,1
creighton_vfib,cu12,250.0,508.928,408,True,True,65324,261.296,0,351,351,0.0,0.0,194.304,1
creighton_vfib,cu02,250.0,508.928,961,True,True,48102,192.408,96,350,350,0.0,0.0,29.836,5
creighton_vfib,cu35,250.0,508.928,328,True,True,120894,483.576,0,324,324,0.0,0.0,25.352,1
creighton_vfib,cu06,250.0,508.928,447,True,True,46089,184.356,0,287,287,0.0,0.0,137.088,2
creighton_vfib,cu15,250.0,508.928,283,True,True,101498,405.992,0,283,283,0.0,0.0,102.936,1
creighton_vfib,cu31,250.0,508.928,261,True,True,123592,494.368,0,261,261,0.0,0.0,14.56,1
creighton_vfib,cu20,250.0,508.928,207,True,True,61059,244.236,0,207,207,0.0,0.0,264.692,1
creighton_vfib,cu01,250.0,508.928,203,True,True,53541,214.164,0,203,203,0.0,0.0,589.508,2
creighton_vfib,cu04,250.0,508.928,240,True,True,38828,155.312,8,155,155,0.0,0.0,272.244,4
creighton_vfib,cu30,250.0,508.928,113,True,True,6859,27.436,0,67,67,0.0,0.0,374.036,3
creighton_vfib,cu18,250.0,508.928,685,True,True,83650,334.6,0,58,473,0.0,294.22,26.764,1
creighton_vfib,cu34,250.0,508.928,251,True,True,29636,118.544,0,58,58,0.0,0.0,55.092,2
