dataset,record,fs,duration_s,n_beats,has_beats,has_danger,first_danger_sample,first_danger_s,n_danger_beats,n_baseline_beats_strict,n_baseline_beats_relaxed,baseline_seconds_strict,baseline_seconds_relaxed,danger_span_seconds,n_danger_spans
long_term_atrial_fibrillation,16,128.0,86400.0,123880,True,True,8130302,63517.984375,26,88215,91238,62548.0546875,63455.3515625,17.375,4
long_term_atrial_fibrillation,07,128.0,91920.0,108619,True,True,7926871,61928.6796875,134,69761,75708,60004.859375,61800.4140625,80.9453125,28
long_term_atrial_fibrillation,05,128.0,87540.0,112929,True,True,6142370,47987.265625,7,64284,65322,47899.1875,47942.421875,4.5625,2
long_term_atrial_fibrillation,120,128.0,86400.0,110439,True,True,6284614,49098.546875,63,59439,61513,47571.78125,48481.28125,41.8984375,15
long_term_atrial_fibrillation,32,128.0,73680.0,89195,True,True,4907753,38341.8203125,117,44857,45408,37907.9921875,38122.859375,77.25,30
long_term_atrial_fibrillation,00,128.0,75480.0,106247,True,True,4617477,36074.0390625,129,43301,43431,35386.265625,35420.859375,41.609375,40
long_term_atrial_fibrillation,100,128.0,85980.0,91427,True,True,3336535,26066.6796875,69,24487,32174,22349.28125,25797.671875,47.5546875,22
long_term_atrial_fibrillation,47,128.0,88200.0,89158,True,True,2529343,19760.4921875,847,20137,22707,18175.9296875,19727.5625,382.9765625,27
long_term_atrial_fibrillation,19,128.0,86400.0,107898,True,True,956318,7471.234375,75,9702,10015,7435.9140625,7452.71875,51.9765625,21
long_term_atrial_fibrillation,08,128.0,92700.0,108327,True,True,988260,7720.78125,40,9623,10025,7711.578125,7711.578125,17.484375,13
long_term_atrial_fibrillation,39,128.0,90000.0,113929,True,True,872808,6818.8125,108,8259,10677,6773.8046875,6773.8046875,50.0703125,6
long_term_atrial_fibrillation,35,128.0,87720.0,88858,True,True,935669,7309.9140625,23,8055,8071,7262.609375,7262.609375,18.1796875,5
long_term_atrial_fibrillation,03,128.0,87360.0,80957,True,True,1110958,8679.359375,58,8020,8085,8658.5625,8658.5625,34.5078125,13
long_term_atrial_fibrillation,118,128.0,86400.0,125152,True,True,2655346,20744.890625,20,6992,42478,4821.03125,19913.609375,11.9453125,6
long_term_atrial_fibrillation,121,128.0,74520.0,77739,True,True,1179545,9215.1953125,414,6247,9127,7399.59375,8995.21875,321.84375,118
long_term_atrial_fibrillation,53,128.0,72240.0,47495,True,True,1270686,9927.234375,2,4846,6209,7231.3828125,8469.828125,1.9609375,1
long_term_atrial_fibrillation,122,128.0,86400.0,88707,True,True,271852,2123.84375,9,2249,2602,1977.875,2039.078125,5.453125,3
long_term_atrial_fibrillation,42,128.0,75840.0,114196,True,True,386006,3015.671875,1855,1719,4154,1219.453125,2413.59375,695.71875,42
long_term_atrial_fibrillation,51,128.0,87540.0,94241,True,True,207031,1617.4296875,15,1182,1302,1224.4375,1234.3359375,9.8359375,5
long_term_atrial_fibrillation,102,128.0,86400.0,114383,True,True,92871,725.5546875,6,990,991,681.296875,681.296875,3.0703125,2
long_term_atrial_fibrillation,13,128.0,71760.0,68969,True,True,139101,1086.7265625,36,867,904,1072.578125,1083.9609375,33.6953125,12
long_term_atrial_fibrillation,101,128.0,86400.0,98165,True,True,112903,882.0546875,707,781,960,687.2890625,791.265625,535.7734375,221
long_term_atrial_fibrillation,10,128.0,92100.0,106512,True,True,7739614,60465.734375,250,707,80550,641.2109375,60431.421875,214.6875,68
long_term_atrial_fibrillation,01,128.0,74040.0,90546,True,True,69689,544.4453125,75,399,782,359.53125,497.9765625,57.6796875,25
long_term_atrial_fibrillation,119,128.0,86400.0,98754,True,True,146798,1146.859375,142,189,225,208.0859375,208.0859375,65.7109375,43
long_term_atrial_fibrillation,37,128.0,71700.0,64643,True,True,26333,205.7265625,303,155,170,202.8046875,202.8046875,195.875,38
long_term_atrial_fibrillation,06,128.0,90900.0,104663,True,True,55809,436.0078125,48,104,120,61.5234375,61.5234375,29.296875,16
long_term_atrial_fibrillation,38,128.0,88080.0,81328,True,True,246045,1922.2265625,25,47,1884,56.875,1597.671875,25.921875,5
